video_id,title,Group,y_true,y_pred,prob,margin_abs
193962521,It seems the thunderstorm is already passing.,Other,0,1,0.0,0.5
103975511,【無】洗練された大人のいやし亭 日南りん 1,Other,0,1,0.0,0.5
193965281,I liked it. So unusual.,Other,0,1,0.0,0.5
193963631,Feeling great,Other,0,1,0.0,0.5
193962651,"Somehow it started uncertainly, but in general it turned out great",Other,0,1,0.0,0.5
190682771,不倫カップルスローセックス最初の挿入から　獣声アクメ、濃厚イラマチオ　イグぅイグぅイグぅ！ラストは手コキで射精,Other,1,0,1.0,0.5
193952281,Morning again and again i have to go ...,Other,0,1,0.0,0.5
191955861,This top doesn’t do them justice,Other,1,0,1.0,0.5
191971481,They deserve a proper squeeze,Other,0,1,1.0,0.5
191745961,juguetona,Other,1,0,1.0,0.5
